IB_ID,IB_DATE,IB_TIME,IB_PLATE,IB_TEMPERATURE
890,2007-11-23,11:05:00,ub,24.5
891,2007-11-23,12:05:00,ub,25
892,2007-11-23,13:05:00,ub,25.5
893,2007-11-23,14:05:00,ub,25.5
894,2007-11-23,15:05:00,ub,25.5
895,2007-11-23,16:05:00,ub,25.5
896,2007-11-23,17:05:00,ub,25
897,2007-11-23,18:05:00,ub,24.5
898,2007-11-23,19:05:00,ub,24
899,2007-11-23,20:05:00,ub,24
900,2007-11-23,21:05:00,ub,23.5
901,2007-11-23,22:05:00,ub,23
902,2007-11-23,23:05:00,ub,23
903,2007-11-24,00:05:00,ub,22.5
904,2007-11-24,01:05:00,ub,22
905,2007-11-24,02:05:00,ub,22
906,2007-11-24,03:05:00,ub,22
907,2007-11-24,04:05:00,ub,21.5
908,2007-11-24,05:05:00,ub,21
909,2007-11-24,06:05:00,ub,21
910,2007-11-24,07:05:00,ub,21
911,2007-11-24,08:05:00,ub,22
912,2007-11-24,09:05:00,ub,23.5
913,2007-11-24,10:05:00,ub,24
914,2007-11-24,11:05:00,ub,24.5
915,2007-11-24,12:05:00,ub,25.5
916,2007-11-24,13:05:00,ub,26
917,2007-11-24,14:05:00,ub,26
918,2007-11-24,15:05:00,ub,26
919,2007-11-24,16:05:00,ub,25.5
920,2007-11-24,17:05:00,ub,25
921,2007-11-24,18:05:00,ub,25
922,2007-11-24,19:05:00,ub,24.5
923,2007-11-24,20:05:00,ub,24.5
924,2007-11-24,21:05:00,ub,24
925,2007-11-24,22:05:00,ub,23.5
926,2007-11-24,23:05:00,ub,23
927,2007-11-25,00:05:00,ub,22.5
928,2007-11-25,01:05:00,ub,22.5
929,2007-11-25,02:05:00,ub,22.5
930,2007-11-25,03:05:00,ub,22
931,2007-11-25,04:05:00,ub,22
932,2007-11-25,05:05:00,ub,21.5
933,2007-11-25,06:05:00,ub,21.5
934,2007-11-25,07:05:00,ub,21.5
935,2007-11-25,08:05:00,ub,21.5
936,2007-11-25,09:05:00,ub,23
937,2007-11-25,10:05:00,ub,23.5
938,2007-11-25,11:05:00,ub,24
939,2007-11-25,12:05:00,ub,25
940,2007-11-25,13:05:00,ub,25.5
941,2007-11-25,14:05:00,ub,25.5
942,2007-11-25,15:05:00,ub,25.5
943,2007-11-25,16:05:00,ub,25
944,2007-11-25,17:05:00,ub,25
945,2007-11-25,18:05:00,ub,24.5
946,2007-11-25,19:05:00,ub,24.5
947,2007-11-25,20:05:00,ub,24
948,2007-11-25,21:05:00,ub,23.5
949,2007-11-25,22:05:00,ub,23
950,2007-11-25,23:05:00,ub,23
951,2007-11-26,00:05:00,ub,22.5
952,2007-11-26,01:05:00,ub,22
953,2007-11-26,02:05:00,ub,22
954,2007-11-26,03:05:00,ub,21.5
955,2007-11-26,04:05:00,ub,21.5
956,2007-11-26,05:05:00,ub,21
957,2007-11-26,06:05:00,ub,20.5
958,2007-11-26,07:05:00,ub,20.5
959,2007-11-26,08:05:00,ub,21.5
960,2007-11-26,09:05:00,ub,23
961,2007-11-26,10:05:00,ub,23.5
962,2007-11-26,11:05:00,ub,24
963,2007-11-26,12:05:00,ub,24.5
