PT_ID,PT_DATE,PT_TIME,PT_TAG,PT_PLATE,PT_ENCLOSURE,PT_TA,PT_TB,PT_IB_ID,PT_CT_ID
948,2007-11-08,18:18:39,662,bb,2,0,0,NULL,NULL
949,2007-11-08,18:18:49,662,bb,2,0,0,NULL,NULL
950,2007-11-08,18:18:59,662,bb,2,0,0,NULL,NULL
951,2007-11-08,18:19:09,662,bb,2,0,0,NULL,NULL
952,2007-11-08,18:19:19,662,bb,2,0,0,NULL,NULL
953,2007-11-08,18:19:29,662,bb,2,0,0,NULL,NULL
954,2007-11-08,18:19:39,662,bb,2,0,0,NULL,NULL
955,2007-11-08,18:19:49,662,bb,2,0,0,NULL,NULL
956,2007-11-08,18:20:56,662,bb,2,0,0,NULL,NULL
957,2007-11-08,18:21:08,662,bb,2,0,0,NULL,NULL
958,2007-11-08,18:21:18,662,bb,2,0,0,NULL,NULL
959,2007-11-08,18:21:29,662,bb,2,0,0,NULL,NULL
960,2007-11-08,18:21:47,662,bb,2,0,0,NULL,NULL
961,2007-11-08,18:25:34,662,bb,2,0,0,NULL,NULL
962,2007-11-08,18:25:44,662,bb,2,0,0,NULL,NULL
963,2007-11-08,18:25:54,662,bb,2,0,0,NULL,NULL
964,2007-11-08,18:26:04,662,bb,2,0,0,NULL,NULL
965,2007-11-08,18:27:07,662,bb,2,0,0,NULL,NULL
966,2007-11-08,18:31:07,662,bb,2,0,0,NULL,NULL
967,2007-11-08,18:35:19,662,bb,2,0,0,NULL,NULL
968,2007-11-08,18:35:29,662,bb,2,0,0,NULL,NULL
969,2007-11-08,18:35:39,662,bb,2,0,0,NULL,NULL
970,2007-11-08,18:35:49,662,bb,2,0,0,NULL,NULL
971,2007-11-08,18:35:59,662,bb,2,0,0,NULL,NULL
972,2007-11-08,18:36:09,662,bb,2,0,0,NULL,NULL
973,2007-11-08,18:36:19,662,bb,2,0,0,NULL,NULL
974,2007-11-08,18:36:29,662,bb,2,0,0,NULL,NULL
975,2007-11-08,18:36:39,662,bb,2,0,0,NULL,NULL
976,2007-11-08,19:03:24,662,bb,2,0,0,NULL,NULL
977,2007-11-08,19:30:46,662,bb,2,0,0,NULL,NULL
978,2007-11-08,19:53:15,662,bb,2,0,0,NULL,NULL
979,2007-11-08,19:54:14,662,bb,2,0,0,NULL,NULL
980,2007-11-08,19:54:24,662,bb,2,0,0,NULL,NULL
981,2007-11-08,19:54:41,662,bb,2,0,0,NULL,NULL
982,2007-11-08,19:54:52,662,bb,2,0,0,NULL,NULL
983,2007-11-08,19:55:10,662,bb,2,0,0,NULL,NULL
984,2007-11-08,19:55:47,662,bb,2,0,0,NULL,NULL
985,2007-11-08,20:07:16,662,bb,2,0,0,NULL,NULL
986,2007-11-08,20:16:22,662,bb,2,0,0,NULL,NULL
987,2007-11-08,20:16:53,662,bb,2,0,0,NULL,NULL
988,2007-11-08,20:17:03,662,bb,2,0,0,NULL,NULL
989,2007-11-08,20:17:22,662,bb,2,0,0,NULL,NULL
990,2007-11-08,20:17:32,662,bb,2,0,0,NULL,NULL
991,2007-11-08,20:17:51,662,bb,2,0,0,NULL,NULL
992,2007-11-08,20:22:44,662,bb,2,0,0,NULL,NULL
993,2007-11-08,20:22:54,662,bb,2,0,0,NULL,NULL
994,2007-11-08,20:26:03,662,bb,2,0,0,NULL,NULL
995,2007-11-08,20:26:13,662,bb,2,0,0,NULL,NULL
996,2007-11-08,20:26:30,662,bb,2,0,0,NULL,NULL
997,2007-11-08,20:26:42,662,bb,2,0,0,NULL,NULL
998,2007-11-08,20:26:52,662,bb,2,0,0,NULL,NULL
999,2007-11-08,20:27:02,662,bb,2,0,0,NULL,NULL
1000,2007-11-08,20:27:12,662,bb,2,0,0,NULL,NULL
1001,2007-11-08,20:31:21,662,bb,2,0,0,NULL,NULL
1002,2007-11-08,20:31:31,662,bb,2,0,0,NULL,NULL
1003,2007-11-08,20:31:41,662,bb,2,0,0,NULL,NULL
1004,2007-11-08,20:31:51,662,bb,2,0,0,NULL,NULL
1005,2007-11-08,20:36:12,662,bb,2,0,0,NULL,NULL
1006,2007-11-08,20:36:22,662,bb,2,0,0,NULL,NULL
1007,2007-11-08,20:36:32,662,bb,2,0,0,NULL,NULL
1008,2007-11-08,20:39:12,662,bb,2,0,0,NULL,NULL
1009,2007-11-08,20:39:37,662,bb,2,0,0,NULL,NULL
1010,2007-11-08,20:39:58,662,bb,2,0,0,NULL,NULL
1011,2007-11-08,21:31:10,662,bb,2,0,0,NULL,NULL
1012,2007-11-08,21:35:02,662,bb,2,0,0,NULL,NULL
1013,2007-11-08,21:35:12,662,bb,2,0,0,NULL,NULL
1014,2007-11-08,21:35:22,662,bb,2,0,0,NULL,NULL
1015,2007-11-08,21:35:32,662,bb,2,0,0,NULL,NULL
1016,2007-11-08,22:09:04,662,bb,2,0,0,NULL,NULL
1017,2007-11-08,22:09:16,662,bb,2,0,0,NULL,NULL
1018,2007-11-08,22:09:26,662,bb,2,0,0,NULL,NULL
1019,2007-11-08,22:09:36,662,bb,2,0,0,NULL,NULL
1020,2007-11-08,22:19:29,662,bb,2,0,0,NULL,NULL
1021,2007-11-08,22:20:01,662,bb,2,0,0,NULL,NULL
1022,2007-11-08,22:25:17,662,bb,2,0,0,NULL,NULL
1023,2007-11-08,22:27:07,662,bb,2,0,0,NULL,NULL
1024,2007-11-08,22:27:25,662,bb,2,0,0,NULL,NULL
1025,2007-11-08,22:28:59,662,bb,2,0,0,NULL,NULL
1026,2007-11-08,22:29:09,662,bb,2,0,0,NULL,NULL
1027,2007-11-08,22:29:19,662,bb,2,0,0,NULL,NULL
1028,2007-11-08,22:29:29,662,bb,2,0,0,NULL,NULL
1029,2007-11-08,22:29:39,662,bb,2,0,0,NULL,NULL
1030,2007-11-08,22:29:49,662,bb,2,0,0,NULL,NULL
1031,2007-11-08,22:30:14,662,bb,2,0,0,NULL,NULL
1032,2007-11-08,22:30:26,662,bb,2,0,0,NULL,NULL
1033,2007-11-08,22:36:49,662,bb,2,0,0,NULL,NULL
1034,2007-11-08,22:37:29,662,bb,2,0,0,NULL,NULL
1035,2007-11-08,22:37:43,662,bb,2,0,0,NULL,NULL
1036,2007-11-08,22:38:05,662,bb,2,0,0,NULL,NULL
1037,2007-11-08,22:38:16,662,bb,2,0,0,NULL,NULL
1038,2007-11-08,22:38:26,662,bb,2,0,0,NULL,NULL
1039,2007-11-08,22:38:36,662,bb,2,0,0,NULL,NULL
1040,2007-11-08,22:39:53,662,bb,2,0,0,NULL,NULL
1041,2007-11-08,22:40:06,662,bb,2,0,0,NULL,NULL
1042,2007-11-08,22:40:16,662,bb,2,0,0,NULL,NULL
1043,2007-11-08,22:40:26,662,bb,2,0,0,NULL,NULL
1044,2007-11-08,22:40:36,662,bb,2,0,0,NULL,NULL
1045,2007-11-08,22:40:46,662,bb,2,0,0,NULL,NULL
1046,2007-11-08,22:42:28,662,bb,2,0,0,NULL,NULL
1047,2007-11-08,22:42:38,662,bb,2,0,0,NULL,NULL
1048,2007-11-08,22:42:48,662,bb,2,0,0,NULL,NULL
1049,2007-11-08,22:42:58,662,bb,2,0,0,NULL,NULL
1050,2007-11-08,22:43:08,662,bb,2,0,0,NULL,NULL
1051,2007-11-08,22:43:18,662,bb,2,0,0,NULL,NULL
1052,2007-11-08,22:43:19,662,bb,2,0,0,NULL,NULL
1053,2007-11-09,02:00:18,662,bb,2,0,0,NULL,NULL
1054,2007-11-09,02:00:28,662,bb,2,0,0,NULL,NULL
1055,2007-11-09,02:00:38,662,bb,2,0,0,NULL,NULL
